Date,Dist1,Dist2,Dist3,Dist4,Dist5,Avg Dist (cm),Temp (C),Humidity,Pressure,Voltage,Current (mA),Power (mW)
12/1/2025 12:40,49.03,40.9,36.14,50.11,48.21,44.88,14.63,60.11,1025.03,8.36,52.1,436
12/1/2025 12:45,16.67,15.69,16.02,16.02,16.02,16.08,15.88,58.37,1024.99,8.37,52.5,440
12/1/2025 13:00,119.93,119.95,120.77,120.75,120.77,120.43,17.03,55.03,1025.02,8.39,28.5,240
12/1/2025 13:15,120.77,119.48,119.47,119.96,119.14,119.77,17.07,54.79,1025.08,8.39,29.1,246
12/1/2025 13:30,119.95,119.95,119.95,119.96,120.87,120.14,16.9,55,1025.01,8.39,29,242
12/1/2025 13:45,120.75,120.39,120.34,120.32,120.36,120.43,16.7,55.82,1024.73,8.39,29.3,246
12/1/2025 14:00,119.54,119.5,119.52,120.41,120.51,119.9,16.57,56.3,1024.43,8.39,29.2,246
12/1/2025 14:15,119.54,119.54,119.52,119.52,119.62,119.55,16.32,56.63,1024.19,8.38,29.3,246
12/1/2025 14:30,119.96,119.96,119.96,120,119.98,119.97,16.11,56.51,1024.12,8.38,29,250
12/1/2025 14:45,121.25,120.41,121.25,121.25,121.27,121.09,15.87,57.03,1024.21,8.38,29.2,246
12/1/2025 15:00,122.62,122.26,121.78,121.35,121.37,121.88,15.73,57.07,1024.43,8.38,28.8,242
12/1/2025 15:15,121.01,121.03,121.01,121.87,121.01,121.19,15.24,57.43,1024.5,8.37,29.6,250
12/1/2025 15:30,120.2,120.19,120.65,120.65,120.2,120.38,14.78,58.6,1024.32,8.37,28.7,240
12/1/2025 15:45,119.86,120.29,120.31,120.29,120.29,120.21,14.31,60.42,1024.07,8.36,29.4,250
12/1/2025 16:00,121.16,121.15,124.58,121.59,122.49,122.19,13.91,61.88,1024.43,8.36,28.8,240
12/1/2025 16:15,122.49,122.06,122.5,122.49,121.59,122.22,13.51,63.4,1024.57,8.36,28.9,242
12/1/2025 16:30,122.49,122.45,121.59,122.02,122.02,122.11,13.31,66.59,1024.56,8.36,29.3,246
12/1/2025 16:45,120.79,120.77,120.34,120.32,120.77,120.6,13.11,65.27,1024.27,8.35,28.8,246
12/1/2025 17:00,122.13,120.51,121.7,122.13,121.34,121.56,12.84,67.73,1024,8.35,28.8,242
12/1/2025 17:15,120.29,120.72,120.63,120.63,120.63,120.58,12.59,67.9,1023.82,8.35,28.2,246
12/1/2025 17:30,117.63,117.65,117.77,117.67,117.65,117.67,12.36,70.87,1023.7,8.34,29.4,246
12/1/2025 17:45,115.32,115.32,115.3,115.32,115.42,115.33,12.25,70.46,1023.93,8.34,28.6,240
12/1/2025 18:00,113.16,112.8,112.8,113.22,112.78,112.95,12.1,69.65,1023.89,8.34,28.9,242
12/1/2025 18:15,111.27,111.37,111.29,111.29,111.35,111.31,11.91,72.45,1023.53,8.33,28,242
12/1/2025 18:30,110,110,109.98,110.02,109.9,109.98,11.87,71.85,1023.58,8.33,28.9,246
12/1/2025 18:45,109.74,109.73,109.73,109.64,109.62,109.69,11.83,73.02,1023.23,8.32,29.4,246
12/1/2025 19:00,110.79,110.74,110.74,110.74,110.7,110.74,11.8,73.58,1023.08,8.32,29,242
12/1/2025 19:15,113.41,113.43,113.29,113.31,113.31,113.35,11.82,73.68,1023.11,8.32,29.1,246
12/1/2025 19:30,117.41,117.49,117.51,117.49,117.51,117.48,11.84,73.12,1022.94,8.32,28.7,240
12/1/2025 19:45,122.21,122.62,122.61,122.62,122.66,122.54,11.85,74.64,1022.63,8.31,29.3,242
12/1/2025 20:01,124.35,124.8,124.35,123.48,123.91,124.18,11.91,73.87,1022.69,8.31,28.8,240
12/1/2025 20:16,125.25,125.25,124.7,124.35,124.8,124.87,11.99,72.32,1022.71,8.3,29.1,242
12/1/2025 20:31,124.42,123.98,123.99,124.44,124.42,124.25,12.03,73.25,1022.53,8.3,28.7,240
12/1/2025 20:46,123.53,124.35,123.53,123.55,124.37,123.87,12.08,71.8,1022.33,8.3,29.1,242
12/1/2025 21:01,123.55,123.98,124.41,123.53,123.98,123.89,12.07,71.82,1022.13,8.3,28.8,240
12/1/2025 21:16,124.42,123.6,124.44,124.46,124.42,124.27,12.03,73,1021.62,8.29,29,240
12/1/2025 21:31,125.33,125.71,125.61,125.71,125.28,125.53,11.94,72.63,1021.6,8.29,28.8,240
12/1/2025 21:46,126.52,125.62,125.13,126.05,126.07,125.88,11.95,72.76,1021.29,8.28,29.1,242
12/1/2025 22:01,132.91,132.9,126.02,133.34,126.14,130.26,12.04,72.29,1021.28,8.28,28.5,236
12/1/2025 22:16,132.47,126.52,132.11,132.43,132.43,131.19,12.12,73.03,1021.04,8.28,29.1,242
12/1/2025 22:31,132.48,132.02,132.04,131.57,131.57,131.94,12.18,72.25,1020.83,8.28,28.5,236
12/1/2025 22:46,132.47,132.45,132.47,132.45,132.11,132.39,12.19,72.78,1020.42,8.27,28.8,240
12/1/2025 23:01,132.02,132,131.54,131.56,131.52,131.73,12.19,73.25,1020.14,8.27,28.8,240
12/1/2025 23:16,125.28,125.69,125.98,132.48,126.86,127.26,12.15,73.24,1019.73,8.27,28.9,240
12/1/2025 23:31,132.91,133,132.98,132.91,132.19,132.8,12.16,73.22,1019.64,8.26,29.1,242
12/1/2025 23:46,132.48,131.64,132.93,132.9,133.02,132.59,12.14,72.53,1019.25,8.26,28.5,242
12/2/2025 0:01,132.57,132.55,133.38,133.38,132.69,132.91,12.1,72.68,1019.11,8.25,28.6,236
12/2/2025 0:16,133.05,132.59,133.43,133.03,132.71,132.96,11.99,72.74,1018.63,8.26,28.3,242
12/2/2025 0:31,133.02,132.59,132.55,132.57,133.12,132.77,11.88,72.61,1018.24,8.25,29,240
12/2/2025 0:46,133.19,131.95,132.36,127.61,132.4,131.5,11.81,73.53,1017.94,8.25,28.6,236
